,rime,rime_index,L,X,H,E
0,通,1,東,董,送,屋
1,通,1,冬,湩,宋,沃
2,通,1,鍾,腫,用,燭
3,江,2,江,講,絳,覺
4,止,3,支,紙,寘,
5,止,3,支,紙,寘,
6,止,3,支,紙,寘,
7,止,3,脂,旨,至,
8,止,3,脂,旨,至,
9,止,3,脂,旨,至,
10,止,3,之,止,志,
11,止,3,微,尾,未,
12,遇,4,魚,語,御,
13,遇,4,虞,麌,遇,
14,遇,4,模,姥,暮,
15,蟹,5,齊,薺,霽,
16,蟹,5,,,祭,
17,蟹,5,,,祭,
18,蟹,5,,,祭,
19,蟹,5,,,泰,
20,蟹,5,佳,蟹,卦,
21,蟹,5,皆,駭,怪,
22,蟹,5,,,夬,
23,蟹,5,灰,賄,隊,
24,蟹,5,咍,海,代,
25,蟹,5,,,廢,
26,臻,6,眞,軫,震,質
27,臻,6,眞,軫,震,質
28,臻,6,眞,軫,震,質
29,臻,6,諄,準,稕,術
30,臻,6,諄,準,稕,術
31,臻,6,臻,𧤛,櫬,櫛
32,臻,6,文,吻,問,物
33,臻,6,欣,隱,焮,迄
34,臻,6,元,阮,願,月
35,臻,6,魂,混,慁,沒
36,臻,6,痕,很,恨,麧
37,山,7,寒,旱,翰,曷
38,山,7,桓,緩,換,末
39,山,7,刪,潸,諫,黠
40,山,7,山,產,襇,鎋
41,山,7,先,銑,霰,屑
42,山,7,仙,獮,線,薛
43,山,7,仙,獮,線,薛
44,山,7,仙,獮,線,薛
45,效,8,蕭,篠,嘯,
46,效,8,宵,小,笑,
47,效,8,宵,小,笑,
48,效,8,宵,小,笑,
49,效,8,肴,巧,效,
50,效,8,豪,晧,号,
51,果,9,歌,哿,箇,
52,果,9,戈,果,過,
53,假,10,麻,馬,禡,
54,宕,11,陽,養,漾,藥
55,宕,11,唐,蕩,宕,鐸
56,梗,12,庚,梗,映,陌
57,梗,12,耕,耿,諍,麥
58,梗,12,清,靜,勁,昔
59,梗,12,清,靜,勁,昔
60,梗,12,青,迥,徑,錫
61,曾,13,蒸,拯,證,職
62,曾,13,登,等,嶝,德
63,流,14,尤,有,宥,
64,流,14,侯,厚,候,
65,流,14,幽,黝,幼,
66,深,15,侵,寑,沁,緝
67,深,15,侵,寑,沁,緝
68,深,15,侵,寑,沁,緝
69,咸,16,覃,感,勘,合
70,咸,16,談,敢,闞,盍
71,咸,16,鹽,琰,豔,葉
72,咸,16,鹽,琰,豔,葉
73,咸,16,鹽,琰,豔,葉
74,咸,16,添,忝,㮇,怗
75,咸,16,咸,豏,陷,洽
76,咸,16,銜,檻,鑑,狎
77,咸,16,嚴,儼,釅,業
78,咸,16,凡,梵,范,乏
